STARTING WEB3 connection
Blck: 186, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 187, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 188, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 189, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 190, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 191, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 192, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 193, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 194, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 195, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 196, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 197, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 198, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 199, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 200, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 201, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 202, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 203, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 204, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 205, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 206, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 207, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 208, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 209, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 210, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 211, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 212, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 213, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 214, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 215, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 216, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 217, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 218, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 219, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 220, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 221, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 222, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 223, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 224, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 225, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
